Column1,Column2,Column3
IGF DCOS,IGF Dynamic Coalition on Open Standards,
IGNITION,Ignition,
IHC/NCCA,Intangible Heritage Committee of the NCCA,
I.H.E.S.,Institut des Hautes Études Scientifiques,
I.H.É.S.,Institut des Hautes Études Scientifiques,
IHOP 2002,IHOP 2002The International H2O Project,
IHSDB-UG,International High Speed Data Bus - Users Group,
I.M.A.T.A,International Marine Animal Trainers Association,
I.M.O.P.,International Marine Observation Project,
I.M.O.W.,International Museum of Women,
I.M.P.A.C.T.,Integrating Moral Principles and Critical Thinking,
IMPRS-CS,International Max Planck Research School for Computer Science,
IMPRS-LS,International Max Planck Research School for Molecular and Cellular Life Sciences,
IMPRS-MCB,International Max Planck Research School for Molecular and Cellular Biology,
I.M.S.A.,International Municipal Signal Association,
I.M.S.M.,Immigration Service Medal for Meritorious Service,
IMT-2000,International Mobile Telecommunications-2000,
INADESMO,Inter-American Democratic Social Movement,
INAS-FID,International Sports Federation for Persons with Intellectual Disability,
INCHRITI,International NGO Committee on Human Rights in Trade and Investment,
INCOSPAR,Indian National Committee for Space Research,
INDECOPI,Institute for Defense of Competition and the Protection of Intellectual Property,
INDIEFORUM,Independent Film & Video Makers' Forum,
IND.OPP.,Independent Opposition,
IND.REF.,Independent Reform,
INFLIBNET,Information and Library Network,
INFLIBNET,INFORMATION AND LIBRARY NETWORK,
INFONAVIT,Instituto del Fondo Nacional de la Vivienda para los Trabajadores,
IN.F.O.R.M.A.,Intercultural Forum on Rights of Migration and Asylum,
INKA-MATH,Information System Karlsruhe-Database on Mathematics,
INOC-DBA,Inter-Network Operations Center Dial-By-ASN,
INSFOPAL,Instituto de Fomento Municipal,
INSTAP-SCEC,Institute for Aegean Prehistory Study Center for East Crete,
INTARMED,Integrated Liberal Arts and Medicine,
INTEGRAL,International Gamma Ray Astrophysics Laboratory,
INTEGRAL,International Gamma-Ray Astrophysics Laboratory,
INTELSAT,International Telecommunications Satellite,
INTELSAT,International Telecommunications Satellite Consortium,
INTELSAT,International Telecommunications Satellite Organization,
INTERDITS,Interdits,
INTERFET,International Force for East Timor,
INTERFET,International Force in East Timor,
INTERFET,International Forces in East Timor,
INTERIOR,Interior Design,
INTERPOL,International Criminal Police Organization,
INTERSHIP,International Shipping Enterprise,
INTER-SIO,Inter-School Improvement Organization,
INTERTANKO,International Association of Independent Tanker Owners,
INXS HBG,INXS Hamburg,
INXS MUC,INXS Munich,
I/O APIC,I/O Advanced Programmable Interrupt Controller,
I.O.D.E.,Imperial Order of the Daughters of the Empire,
IOGT-NTO,IOGT International,
I.O.O.F.,Independent Order of Odd Fellows,
IPC NAFC,IPC North American Family Conference,
IPOPCORM,Integrated Population and Coastal Resources Management,
IPSOT-SL,Institute of Peacekeeping Support Operations Training Sri Lanka,
IREMBASS,Improved REMBASS,
I-REMBASS,Improved Remote Battlefield Sensor System,
I-REMBASS,Improved--Remotely Monitored Battlefield Sensor System,
I.R.F.U.,Irish Rugby Football Union,
IRHH EUROPE,Institute for Research in Human Happiness Kofuku-no-Kagaku EUROPE,
I.R.I.B.F.,Islamic Republic of Iran Basketball Federation,
I.R.I.S.,Infinitum Research Intercept Squad,
I.S.C.A.,Insurance Social Club Association,
I.S.C.M.,International Society for Contemporary Music,
I.S.F.R.A,Institut Supérieur de Formation en Recherche Appliquée,
I.S.K.A.,International Sport Karate Association,
ISMCBBPR,International Society for Molecular and Cell Biology and Biotechnology Protocols and Researches,
I.S.M.E.,International Society for Music Educators,
I.S.M.L.,Istituto Sperimentale dei Metalli Leggeri,
I.S.M.T.A.,International Sport Muay Thai Association,
ISO-8859-1,ISO 8859-1,
ISORECEA,International Study of Religion in Eastern and Central Europe Association,
ISPR RAS,Institute of Socio-Political Research of the Russian Academy of Sciences,
ISPR RAS,Institute of Socio-Political Research under the Russian Academy of Sciences,
ISPT-KIN,Institut Supérieur Pédagogique et Technique de Kinshasa,
I.S.S./KIN,Institut Supérieur de Statistique de Kinshasa,
I.S.S.O.,International Swaminarayan Satsang Organisation,
ISU-ASIA,ISU Asian Alumni Association,
ITE CW-CT,ITE College West(Clementi Campus),
I.T.G.W.U,Irish Transport and General Workers Union,
ITLA-MSA,Integratable Tunable Laser Assembly Multi-Source Agreement,
IUCN ELC,IUCN Environmental Law Center,
IUCN/SSC,Re-introduction Specialist Group's NEWSLETTER: Re-introduction NEWS,
IVHM HTD,Integrated Vehicle Health Monitoring - HEDS Technology Demonstration,
IVHM HTD,Integrated Vehicle Health Monitoring- HEDS Technology Demonstration,
I.W.K.U.,Induk Wargo Kawruh Utomo,
IWPR/BIRN,Institute for War and Peace Reporting and Balkan Investigative Reporting Network,
IW&SERMSPC,Isle of Wight & South of England Royal Mail Steam Packet Company,
JACL-LEC,Japanese American Citizens League Legislative Education Committee,
J.A.C.O.B.,Jewish Arts Community of the Bay,
J.A.I.L.,Justice Against the Identification Laws,
JASSM-ER,JASSM-Extended Range,
JAX-WS RI,JAX-WS Reference Implementation,
JCC,Jewish Community Council,
J.C.P.C.,Judicial Committee of the Privy Council,
J.D.-M.B.A.,Juris Doctor-Master of Business Administration,
J.E.A.C.,Junta de Exportacado de Algodao Colonial,
JEUCAFRA,Jeunesse Camerounaise Française,
JFCC GSI,JFCC for Global Strike and Integration,
JFCC-GSI,Joint Functional Component Commander for Global Strike Integration,
JFCC GSI,Joint Functional Component Command for Global Strike and Integration,
JFCC-GSI,Joint Functional Component Command for Global Strike and Integration,
JFCC IMD,Joint Functional Component Command for Integrated Missile Defense,
JFCC SGS,Joint Functional Component Command for Space and Global Strike,
JFCC SPACE,Joint Functional Component Command for Space,
JFCC SPACE,Joint Functional Component Command Space,
JFHQ-NCR,Joint Force Headquarters National Capital Region,
JFHQ-NCR,Joint Force Headquarters-National Capital Region,
JHQ CENT,Joint Headquarters Centre,
JHQ NORTH,Joint Headquarters North,
J.I.V.E.,Jammin' in Vicious Environments,
JJ/WBGSP,Joint Japan/World Bank Graduate Scholarship Program,
J.N.T.U.,Jawaharlal Nehru Technological University,
J.O.A.T.,Jack of All Trades,
J.O.N.A.S!,Junior Operatives Networking As Spies,
J.O.S.E.,Jealous Ones Still Envy,
J.P.M.C.,Jinnah Postgraduate Medical Centre,
J.T.C.H.S.,Jafar-e-Tayyar Cooperative Housing Society,
JTF-AFIC,Joint Task Force-Armed Forces Inaugural Committee,
JTFEX 97-2,Joint Task Force Exercise 97-2,
JTF-GTMO,Joint Task Force Guantanamo,
JUAS COE,Joint Unmanned Aircraft Systems Center of Excellence,
JUMPS/MMS,Joint Uniform Military Pay System/Manpower Management System,
KAMAKURA,Kamakura,
KAPIDECO,Kauturan Pison Development Corporation,
KARUBAKI,Karubaki Samantray,
KAZE-FDD,Kaze-Forces for the Defense of Democracy,
KBN DARGA,Khwaja Bande Nawaz Darga,
K.C.C.H.,Knight Commander of the Court of Honour,
K.C.G.W.,King City Glass Works,
K.C.I.C.,King Community Involvement Council,
K.C.M.G.,Knights Commander of Saint Michael and Saint George,
K.C.M.G.,Knights Commander of St Michael and St George,
K.C.S.L.,Kerala Catholic Stundents' League,
K.C.V.I.,Kingston Collegiate and Vocational Institute,
K.C.V.O.,Knight Commander of the Royal Victorian Order,
K.C.V.O.,Knights Commander of the Royal Victorian Order,
K.D.E.C.,Kono District Education Council,
KENTUNION,Kent Students’ Union,
KETENGAH,Kemajuan Terengganu Tengah,
K.I.B.I.,Karmapa International Buddhist Institute,
KICKSTART,Kick Drugs Out of America Foundation,
K.I.T.T.,Knight Industries Three Thousand,
K.I.T.T.,Knight Industries Two Thousand,
K.K.H.E.C.,Kerman Khaje-Nasir Higher Education Center,
KNP SWAT,Korea National Police Special Weapon Attack Team,
KOMAK-ML,Kommunistische Aktion - marxistisch-leninistisch,
KOPASSUS,Komando Pasukan Khusus,
K.P.E.V.,Königlich Preußische Eisenbahn-Verwaltung,
KYUNGSUNG,Kyungsung Univ. Online Newspaper,
LAGEOS-II,Laser Geodynamic Satellite II,
LATE-PCR,Linear-After-The-Exponential-PCR,
L.E.L.M.,Leipzig Evangelical Lutheran Mission,
L.E.S.S.,Lupus Erythematosus Society of Saskatchewan,
LIBERTAD,Liberty and Democratic Solidarity,
LLWAS-RS,Level Windshear Alert System Relocation/Sustainment,
LONEOS 2,LONEOS  P/2000 S3,
L.O.O.T.,Lesbian Organization of Toronto,
L-O-R-E.,"Livingston, Orange, Randolph, and Eufaula",
L.R.B.T.,Layton Rahmatulla Benevolent Trust Eye Hospital,
LRH PPRO,LRH Personal Public Relations Office International,
LSAI/LESKAS,Lightning Scientific Arnis International/Lema Scientific Kali-Arnis System,
LSUHSC-NO,LSU Health Science Center in New Orleans,
LSUHSC-NO,LSU Health Sciences Center in New Orleans,
L.T.G.C.,Lucio Tan Group of Companies,
L.U.C.H.A.,Latinos Unidos Con Honor Americano,
L.W.P.M.,Librarians Within The Peace Movement,
L.W.S.S.,Libertarian Workers for a Self Managed Society,
L.W.T.R.,License Without Type Rating,
LWW-CETL,Languages of the Wider World CETL,
M.A.A.A.,Member of the American of Academy of Actuaries,
M.A.C.E.,Massabesic Adult and Community Education,
M.A.C.E.,Master of Arts in Christian Education,
M.A.C.E.,Master of Arts In Christian Education,
M.A.C.E./M.S.W,Master of Arts in Christian Education/Master of Social Work,
M.A.C.H.S.,Mohammad Ali Co-operative Housing Society,
MACMAG GLIP,Machreq/Maghreb Gender Linking and Information Project,
MACV-SOG,Military Assistance Command Vietnam Studies and Observation Group,
MACV-SOG,Military Assistance Command-Vietnam Studies and Observations Group,
MADALINE,Multiple Adaline,
M.A.D.C.F.,Master of Arts in Discipleship and Christian Formation,
M.A.D.D.,Mothers Against Drunk Drivers,
M.A.G.I.C.,Manchester Alternative General Information Centre,
MAILMUSIC,Mail Music,
MAINCOMM,Main-Communications,
M.A.R.S.,Megaversity Association for Reenactments and Simulations,
M.A.S.H.,Mobile Army Surgical Hospital,
MAS MADRID,Member of the Federación de Asociaciones de SIDA de Madrid,
M.B.M.R.,Master of Business in Marketing Research,
MEAP HST,Michigan Educational Assessment Program High School Test,
MEC,Musical Experience for Children,
MEDS,Marine Environmental Data Services,
M.F.A.M.,Master of Food Animal Medicine,
MHSAA SEC,Michigan High School Athletic Association Southeastern Conference,
M.H.S.A.,Master of Health Services Administration,
MIAA-NAIA,Manila International Airport Authority,
M.I.S.M.,Master of Information System Management,
MISPWOSO,Maximegalon Institute of Slowly and Painfully Working Out the Surprisingly Obvious,
MISSILEX,Missile Exercise,
M.I.S.S.,Math Intensive Summer Session,
MISS ST.,Mississippi State,
MJV,Murcia-San Javier Airport,
MLA,Modern Language Association,
M.L.M.L.,Motilal Manoharlal,
MLR,Meanwhile the Libertarian Resistance Movement,
M.N.Z.M.,Members of the New Zealand Order of Merit,
M.O.A.B.,Mother Of All Bands,
MRAP-MRUV,Mine Resistant Ambush Protected - Mine Resistant Utility Vehicle,
M.R.C.S.,Manchester Royal School of Medicine and Surgery,
M.R.C.S.,Membership of the Royal College of Surgeons,
M.S.B.S.,Mind Shift Battle System,
M.S.M.E.,Master of Science in Mechanical Engineering,
M.S.P.M.,Master of Science in Project Management,
MSR-100S,MSR-00100S,
MTSAT-1R,Multi-Functional Transport Satellite 1R,
MWU/CCOM,Midwestern University Chicago College of Osteopathic Medicine,
N.A.B.C.,North American Boxing Council,
NADR/TIP,NADR Terrorist Interdiction Program,
NALCOMIS,Naval Aviation Logistics Command Management Information System,
NASA IRTF,NASA Infrared Telescope Facility,
NATVIPOL,National Vision Party of Liberia,
NAVAIRLANT,Naval Air Force Atlantic Fleet,
NAVAIRTU,Naval Air Training Unit,
NAVASFWI,National Association for Voluntary Sterilization and Family Welfare of India,
NBWA PAC,National Beer Wholesalers Association Political Action Committee,
NCAA III,NCAA Division III,
NCA CASI,North Central Association Commission on Accreditation and School Improvement,
NC CAMPO,North Carolina Capital Area Metropolitan Planning Organization,
NC-CASAD,National Conference on Computer Aided Structural Analysis and Design,
NCC-CICT,National Computer Center Commission on Information and Communications Technology,
NCIC/FCIC,National Crime Information Center/Fla. Crime Information Center,
NCIC-III,National Crime Information Center's Interstate Identification Index,
NCR,North Coast Rocketry,
NEIGRIHMS,North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences,
NEI-RECQ,National Eye Institute Refractive Error Questionnaire,
NEISS-AIP,National Electronic Injury Surveillance System-All Injury Program,
NELBUSCO,Northern Luzon Bus Corporation,
NEVC,National Ethanol Vehicle Coalition,
NFPA,National Fire Protection Association,
NGI,Next Generation Internet,
NHS PASA,NHS Purchasing and Supply Agency,
NHS PASA,NHS Purchasing Supply Agency,
NI 43-101,National Instrument 43-101,
NICS-COA,NATO Integrated Communications Systems Central Operating Authority,
NIGCOMSAT,Nigerian Communication Satellite,
NII-1011,Nauchno-Issledovatel’skij Institut-1011,
N.I.S.T.,New International School of Thailand,
N.L.R.B.,National Labor Relations Board,
N.M.S.A.,National Municipal Signal Association,
NN/LM SCR,National Network of Libraries of Medicine South Central Region,
N.O.N.E.,New Orleans and Northeastern Railroad,
NOREASCOM,Northeast Command,
NOR'EASTER,Northeast Sea Grant Programs,
NORECO II,Negros Oriental Electric Cooperative II,
NORFORCE,North-West Mobile Force,
N.O.R.K.,New Orleans Rhythm Kings,
NORMINAC,Northern Mindanao National Agricultural College,
NORMISIST,Northern Mindanao State Institute of Science and Technology,
NORSHIPCO,Norfolk Shipbuilding and Dry Dock Company,
NORTHCOM,Northern Command,
N.O.T.T.,National Outerspace and Terrestrial Territories,
NPD,Narcissistic Personality Disorder,
NRT,Net Register Tonnage,
NSDAP,Nationalsozialistische Deutsche Arbeiterpartei,
NS,Norfolk Southern,
NSTB,National Satellite Test Bed,
NUS-EPGY,NUS Education Programme for Gifted Youths,
NUSPOTECH,National Union of Students in Polytechnic and Technical Colleges,
N.W.F.P.,North West Frontier Province,
N.W.M.P.,North West Mounted Police,
NWPC-DOLE,National Wages and Productivity Commission of the Department of Labor and Employment,
N.Y.C.R.R.,New York Code of Rules and Regulations,
N.Y.C.T.W,New York Covens of Traditionalist Witches,
NYDAAFBL,New York and District Amateur Association Football League,
NYDAAFBL,New York and District Amateur Association Foot Ball League,
N.Y.G.A.,New York Gamers Association,
NYLF/LAW,National Youth Leadership Fourm on Law,
N.Y.L.J.,New York Law Journal,
NYSAISAA,New York State Association of Independent Schools Athletic Association,
NYSPHSAA,New York State Public High School Athletic Association,
N.Z.A.M.,New Zealand Antarctic Medal,
N.Z.C.C.,New Zealand Cadet Corps,
OASD (M&RA),of the Assistant Secretary of Defense for Manpower & Reserve Affairs,
OASD NII,of the Assistant Secretary of Defense for Networks & Information Integration,
OECS-EDU,OECS Export Development Unit,
O.H.I.O.,Oberlin Historical and Improvement Organization,
OIC/POIC,Officer in Charge/Petty Officer in Charge,
OI,Outram Institute,
O.N.A.N.,of North American Nations,
OPM-SANG,of Program Management - Saudi Arabian National Guard,
OPS,Organización Panamericana de la Salud,
OP-SSSDP,of Preachers-Siena Schools System Development Program,
OPTEVFOR,Operational Test and Evaluation Force,
O:.R:.O:.,Oriental Rosicrucian Order,
O.S.S.A.,Orpheo Sincronic Sociedad Anónima,
O.S.S.D.,Ontario Secondary School Diploma,
PAA GMRD,Pan American Airways Guided Missile Range Division,
PAA GMRD,Pan American Guided Missiles Research Division,
PA-AGRITECH,Philippine-Australian Agricultural Technology Education Project,
PAAMS(S),Principal Anti Air Missile System (SAMPSON),
PAHO/WHO,Pan American Health Organisation/World Health Organisation,
P.A.I.P.H,Pour l'Avancement Integral du Peuple Haitien,
PAIRITEL,Peters Automated IR Imaging Telescope,
PASUDECO,Pampanga Sugar Development Company,
P.E.A.C.E.,Peace Fund,
P.E.A.C.E,Pistachio Eaters Against the Chief Elder,
PENGASSAN,Petroleum and Natural Gas Senior Staff Association,
PERSILAT,Persekutuan Silat Antarabangsa,
PESNYARY,Pesniary Music Albums PESNIARY,
PETRONAS,Petroliam Nasional Berhad,
P.F.A.C.,Provisional Federal Advisory Committee,
P.F.R.A.,Prairie Farm Rehabilitation Act,
PHBCA,Public Home Builders Council of America,
P.I.M.S.,Partnerships in Mathematics and Science,
PINSTECH,Pakistan Institute of Nuclear Science and Technology,
PINSTECH,Pakistan Institute of Science & Technology,
P.I.R.A.W.,People I Regularly Associate With,
POLUKRBAT,Polish-Ukrainian Peace Force Battalion,
POMFLANT,Polaris Missile Facility Atlantic,
PORTPASS,Port Passenger Accelerated Service System,
P.O.S.I.,Partido Obrero Socialista Internacionalista,
PPFA,Planned Parenthood Federation of America,
P.&R.C.&I.,Philadelphia Reading Coal and Iron Company,
PSME-UPSU,Philippine Society of Mechanical Engineers - University of the Philippines Student Unit,
PSUBS.ORG,Personal Submersible Organization,
PSUCCESS,Philippine State Universities and Colleges Computer Educationists Society,
(P.T.S.),Pali Text Series,
PTTV,Paper Tiger Television,
PWD/SHAEF,Psychological Warfare Division of SHAEF,
R.A.A.F.,Royal Australian Air Force,
RAC,Rockefeller Archive Center,
R.A.M.C.,Royal Army Medical Corps,
R ANGLIAN,Royal Anglian Regiment,
RANTEWSS,RAN Tactical Electronic Warfare Support Section,
R.A.R.E.,Races Everywhere,
R.A.T.E.,Radioactivity and the Age of the Earth,
R.A.T.E.,Radioisotopes and the Age of the Earth,
RCW,Revised Code of Washington,
RECONDEV,Reconstruction and Development Corporation,
RED HORSE,Rapid Engineer Deployable Heavy Operational Repair Squadron Engineers,
REFORGER,Return of Forces to Germany,
REFSMMAT,Reference to a Stable Member Matrix,
REGSUPPORG,Regional Support Organization,
R.E.M.E.,Royal Electrical and Mechanical Engineers,
RENAICAM,Renaissance Camerounaise,
RESPATWING,Reserve Patrol Wing,
REVOLUTION,Revolution,
R.G.L.B.,Regular Grand Loge of Belgium,
RGS-ICYL,RGS-International Convention for Youth Leaders,
R.H.S.A.,Residence Hall Student Association,
R.I.A.L.,Royal Institution for the Advancement of Learning,
R.I.B.A.,Royal Institute of British Architects,
R.I.D.E.,Road Improvement and Development Effort,
RIMA-ITS,Research Institute For Web and Mobile Application - ITS,
R.I.M.E.,Raritan Introduction of Minorities to Engineering,
RIMT-IET,RIMT-Institute of Engineering and Technology,
RIMT-IMCT,RIMT-Institute of Management and Computer Technology,
RIPE NCC,Réseaux IP Européens - Network Coordination Centre,
RIPE NCC,Réseaux IP Européens Network Coordination Centre,
RIPE NCC,RIPE Network Coordination Centre,
R.I.S.E.,Research Intelligence Special Education,
RIS/PACS,Radiology Information Systems/Picture Archiving and Communication Systems,
RITA-ALIN,Reseau d'Information des Terres Arides - Arid Lands Information Network,
R.J.H.S.,Rigby Junior High School,
R.M.L.E.,Regiment of the French Foreign Legion,
RMNACSTC,Rocky Mountain National Army Cadet Summer Training Centre,
R.M.S.O.,Regional Medial Support Office,
R.N.A.S.,Royal Naval Air Service,
RNSH RMOA,Royal North Shore Hospital Resident Medical Officer Association,
R.N.V.R.,Royal Naval Volunteer Reserve,
ROCK MUSIC,Rock Music,
ROKUSCFC,Republic of Korea - United States Combined Forces Command,
R.O.U.S.,Rodents of Unusual Size,
R.P.D.C.,Robert Presley Detention Center,
R.S.F.S.R.,Russian Soviet Federated Socialist Republic,
R.S.F.S.R.,Russian Soviet Federative Socialist Republic,
R.S.R.V.,Rotterdamsche Studenten Roeivereeniging,
SACS/SAIS,Southern Association of Colleges and Schools and the Southern Association of Independent Schools,
S.A.D.D.,Students Against Destructive Decisions,
S.A.D.D.,Students Against Disastrous Decisions,
SADD/YELL,Students Against Destructive Decisions and Youth to Eliminate Loss of Life,
S-A-I-N-T,Strategic-Artificially-Intelligent-Nuclear-Transport,
SAIR,South Asia Intelligence Review,
SCC,Static Control Components,
S.C.E.G.G.S,Sydney Church of England Girls' Grammar School,
S.C.E.G.G.S,Sydney Church Of England Girls' Grammar School,
S.D.I.F.,Savings Deposit Insurance Fund,
S.D.N.Y.,Southern District of New York,
SDSU/SERL,San Diego State University Soil Erosion Research Laboratory,
S.D.T.A.,Scottish Dance Teachers' Alliance,
SEARSOLIN,Southeast Asia Rural Social Leadership Institute,
SEEBOARD,South Eastern Electricity Board,
SEED-NET,Southeast Asia Engineering Education Network,
SEG,Survivor Entertainment Group,
SELEX SI,SELEX Sistemi Integrati,
S.E.L.T.E.C.,South East London Technical College,
S.E.P.A.,Scottish Environmental Protection Agency,
S.E.V.C.,Statehouse Education and Visitors Center,
S.E.W.E.R.,Saving Erie’s Water & Environmental Resources,
S.F.B.J.,Société Française de Fabrication de Bébés et Jouets,
SF&NP,San Francisco and North Pacific Railroad,
SF&NW,San Francisco and Northwestern Railway,
SGLC,Sydney Gay and Lesbian Choir,
S.H.D.O.,Super Human Development and Operation,
SH.E.MS.A,Southern Europe Musical Association,
S.H.I.P.,Students of High Intellectual Potential,
SHIRBRIG,Standby High-Readiness Brigade,
S.H.I.T.,Saskatchewan Hardcore International Title,
S.H.I.T.,South Harmon Institute of Technology,
SHVC,Save Happy Valley Coalition,
SIESCOMS,S.I.E.S College of Management Studies,
SIESCOMS,SIES College of Management Studies,
S.I.E.V.,Secrétariat International d'Etudes Vincentiennes,
SIGGRAPH,Special Interest Group for Computer Graphics,
SIGGRAPH,Special Interest Group in Graphics,
SIGGRAPH,Special Interest Group on Computer Graphics,
SIGINT/EW,Signal Intelligence/Electronic Warfare,
S.I.G.M.A.,Sculptors in Greater Manchester Area,
SIGMICRO,Special Interest Group on Microarchitecture,
SINCGARS,Single Channel Ground Airborne Radio System,
SINCGARS,Single Channel Ground Air Radio System,
SINCGARS,SINgle-Channel Ground-Air Radio Systems,
SINCGARS,Single Channel Ground and Airborne Radio System,
SINPRO-SP,Sindicato dos Professores de São Paulo,
SIR-C/X-SAR,Shuttle Imaging Radar C/X-Band Synthetic Aperture Radar,
SIR-C/X-SAR,Shuttle Imaging Radar-C/X-Band Synthetic Aperture Radar,
SIR-C/X-SAR,Spaceborne Imaging Radar-C/X-band Synthetic Aperature Radar,
SIR-C/X-SAR,Spaceborne Imaging Radar-C/X-band Synthetic Aperture Radar,
SIR-C/X-SAR,Spaceborne Imaging Radar-C/X-Band Synthetic Aperture Radar,
S.I.S.A.,Società Italiana Servizi Aerei,
SKUAST-J,Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,
SKUAST-K,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,
SLOWPOKE,Safe Low-Power Kritical Experiment,
S.M.A.R.T.,Sport Management and Recreation Team,
SMKA SHOAW,Sekolah Menengah Kebangsaan Agama Sheikh Haji Othman Abdul Wahab,
SMKSSAAS,Sekolah Menengah Kebangsaan Sultan Salahuddin Abdul Aziz Shah,
SMKTPPTM,Sekolah Menengah Kebangsaan Tengku Panglima Perang Tengku Muhammad,
SMPJNPHAB,Sekolah Menengah Pengiran Jaya Negara Pengiran Haji Abu Bakar,
S.M.P.R.,Sheth Moti Bhai Pachan Rashtriya Shala,
S-MPU/PC,Super MPU PC-98,
SNIA-CTP,Storage Networking Industry Association's Conformance Testing Program,
SNMPTRAP,Simple Network Management Protocol Trap,
SONICHAR,Societe Nigerienne de Charbon,
S.O.O.B.,Social Order of the Beauceant,
SOPHE/AAHE,Society of Public Health Education and the American Association of Health Education,
SOPMOD M4,Special Operations Peculiar Modification M4 Carbine,
S.O.S.E.,Studies of Society and Environment,
SPCC,Southern Pacific Communications Company,
S.P.I.C.E,Student Participation In Campus Experience,
SPICMACAY,Society for the Promotion of Indian Classical Music And Culture Amongst Youth,
S.P.I.N.,Special Prize Identification Number,
STD,Subscriber Toll Dialling,
STIECALA,Sekolah Tinggi Ilmu Ekonomi Cakrawala,
STIE IBI,Sekolah Tinggi Ilmu Ekonomi Institut Bisnis Indonesia,
STL/NIH-C,Space Tissue Loss/National Institutes of Health-Cells,
S.T.O.P.,Safe Tables Our Priority,
S.T.P.C.,Société Tournaisienne de Produits Chimiques,
STRAHNET,Strategic Highway Network,
STRATCOM,Strategic Command,
S.T.R.O.N.G.,Science Technolical Research Occupations Need Girls,
STUN-SDLC,Serial Tunneling—Synchronous Data Link Control,
SUNY-ESF,State University of New York College of Environmental Science and Forestry,
SUNY-ESF,SUNY College of Environmental Science and Forestry,
SUPCOURT,Supreme Court,
S.U.S.A.,Students' Association,
SU.VI.MAX,Supplémentation en Vitamines et Mineraux Antioxydants,
SVR4.2MP,System V Release2MP,
SWAP-200,Shedler-Westen Assessment Procedure-200,
S.W.A.T.,Special Weapons and Tactics,
S.W.A.T.,Special Weapons And Tactics,
S.W.A.T.,Special Weapons and Tactics Team,
S.W.A.T.,Students Working Against Tobacco,
S.W.B.L.,Southwestern Buckeye League,
SW&BRCSPS,South Western and Brighton Railway Companies Steam Packet Service,
SWESTRANS,South West of Scotland Transport Partnership,
SWGSTAIN,Scientific Working Group on Bloodstain Pattern Analysis,
SWGTREAD,Scientific Working Group on Shoeprint and Tire Tread Evidence,
SWIFT PDS,SWIFT Payment Delivery System,
T-45 RAMP,T-45 Required Avionics Modernization Program,
TABLEAUX,Tableaux and Related Methods,
TABUSTEC,Takoradi Business Technical College,
TAC/ABET,the Accreditation Board for Engineering and Technology,
TACOM-ACALA,Tank-automotive and Armaments Command Armament and Chemical and Logistics Activity,
TACRECCE,Tactical Reconnaissance,
TAG EAST,Tactical Assault Group East,
TAKEHIDE,Takehide,
TAMU-ADRAD,TAMU Aggie Doppler Radar,
T.A.P.P.S.,Texas Association of Private and Parochial Schools,
T.A.P.P.,Teenage Parent Program,
TARPS-DI,TARPS Digital,
TAT-102A,Tactical Armament Turret-102A,
TAWS/EGPWS,Terrain Avoidance Warning System / Enhanced Ground Proximity Warning System,
TBMCS-FL,TBMCS Force Level,
TD-SCDMA,Time Division - Synchronous Code Division Multiple Access,
T.E.A.C.H.,Teacher Education Academy at Clark High School,
T.E.A.C.H.,Teacher Education At Clark High,
T.E.A.T.R.O.,Talento Entablado Trinitia At Isang Respetadong Organisasyon,
TECH-COR,The Emerging Christian Homeschooled Communicators of Ruston,
T.E.D.S.,Trinity Evangelical Divinity School,
TEFL/TESOL,Teaching of English to Speakers of Other Languages,
T.E.L.C.,Tamil Evangelical Lutheran Church,
TELEAC/NOT,Televisie-academie/Nederlandse Onderwijs Televisie,
TELECOMM,Telecomunicaciones de México,
TELMEMOR,The European Library: Modular Extensions for Mediating Online Resources,
T.E.S.R.I,Taiwan Endemic Species Research Institute,
T.E.S.T.P,Testing People,
TEXPROCIL,Textile Export Promotion Council,
THAILAND,THANACHART CAPITAL PUBLIC COMPANY LIMITED THE AROMATICS,
THE★SCANTY,The Scanty,
THIN AIR,The Winnipeg International Writers Festival,
T.H.U.G.S.,The Hollins United Gospel Singers,
T.I.M.E.,The Inner Mind's Eye,
T.I.M.E.,Triumphant Institute of Management Education,
T.I.N.A.,There Is No Alternative,
T.I.P.A.,Tibetan Institute of Performing Arts,
TLV-STEL,Threshold Limit Value - Short Term Exposure Limit,
T.M.E.A.,Texas Music Educators Association,
TMGLMOAT,The Most Gigantic Lying Mouth of All Time,
TOGA NEG,TOGA Numerical Experimentation Group,
T.O.R.T.,Theatre of the Relatively Talentless,
T.O.W.N.,Taskforce On Waukegan Neighborhoods,
T.R.N.C.,to Northern Cyprus,
T.R.O.B.I.,Tree Register of the British Isles,
TRULINCS,Trust Fund Limited Inmate Communication System,
TURK-SEN,Turkish Unions Federation,
U.A.D.E.,Universidad Argentina de la Empresa,
UAPSA-PLM,United Architects of the Philippines Student Auxiliary-PLM Chapter,
U.B.M.S.,Upward Bound Math and Science,
UCLA CSO,UCLA Community Service Officer Program,
UCLA EMS,UCLA Emergency Medical Services,
UC MEXUS,University of California Institute for Mexico and the United States,
UCP-CPSU,Union of Communist Parties - Communist Party of the Soviet Union,
UCR/NIBRS,Uniform Crime Reporting Program/National Incident-Based Reporting System,
U.D.T.S.,University of Dubuque Theological Seminary,
